Sno,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
0,Albania,ALB,1990,0,0,0,0
1,Albania,ALB,1991,0,0,0,0
2,Albania,ALB,1992,0,0,0,0
3,Albania,ALB,1993,0,0,0,0
4,Albania,ALB,1994,0,0,0,0
5,Albania,ALB,1995,0,0,0,0
6,Albania,ALB,1996,0,0,0,0
7,Albania,ALB,1997,0,0,0,0
8,Albania,ALB,1998,0,0,0,0
9,Albania,ALB,1999,0,0,0,0
10,Albania,ALB,2000,0,0,0,0
11,Albania,ALB,2001,0,0,0,0
12,Albania,ALB,2002,0,0,0,0
13,Albania,ALB,2003,0,0,0,0
14,Albania,ALB,2004,0,0,0,0
15,Albania,ALB,2005,0,0,0,0
16,Albania,ALB,2006,0,0,0,0
17,Albania,ALB,2007,0,0,0,0
18,Albania,ALB,2008,0,0,0,0
19,Albania,ALB,2009,0,0,0,0
20,Albania,ALB,2010,0,0,0,0
